Name,Cuisine,
Bell peppers,Italian,
Pesto,Italian,
pine nuts,Italian,
Peas,Italian,
Prosciutto,Italian,
Radicchio,Italian,
Rice,Italian,
Arugula,Italian,
Cuttlefish,Italian,
Spinach,Italian,
Tartufo,Italian,
Tripe,Italian,
Tuna,Italian,
Zucchini,Italian,
Garlic,Italian,
Bay leaves,Italian,
Basil,Italian,
Onion,Italian,
Fennel,Italian,
Mint,Italian,
Oregano,Italian,
Chili pepper,Italian,
Parsley,Italian,
Rosemary,Italian,
Sage,Italian,
Thyme,Italian,
Nihari,Indian,
Paya,Indian,
Kachri Qeema,Indian,
Haleem,Indian,
Khichda,Indian,
Mughlai Chicken,Indian,
[1],Indian,
Biryani,Indian,
Mughlai Paratha,Indian,
Qeema Matar,Indian,
Meat Durbari,Indian,
Mughlai Chicken Pulao,Indian,
Murg Kababs Mughlai,Indian,
Murg Noorjehani,Indian,
Murg Kali Mirch,Indian,
Murgh Musallam,Indian,
Kofta Shorba,Indian,
Nargisi Kofta,Indian,
Murg Tandoor,Indian,
Murg Chaap,Indian,
Murg Masala,Indian,
Malai,Indian,
Kofta,Indian,
Navratan Korma,Indian,
Reshmi Kabab,Indian,
Boti Kabab,Indian,
Shahjehani Murg Masala,Indian,
Shahi Chicken Korma,Indian,
Shahi Kaju Aloo,Indian,
Shahi Rogan Josh,Indian,
Pasanda,Indian,
Rezala,Indian,
Shahi Tukra,Indian,
Barfi,Indian,
Kalakand,Indian,
Kulfi,Indian,
Sheer korma,Indian,
Falooda,Indian,
Anjeer Halwa,Indian,
Figs,Indian,
Kesari Firni,Indian,
Kheer,Indian,
Mughlai Recipes,Indian,
Mughal Emperors' Food,Indian,
