7500,-2014
Meg,-2017
Alien Outpost,-2014
The Astronaut's Wife,-1999
Tokyo Tribe,-2014
Untitled Terminator 2,-2017
Mine Games,-2012
Son of God,-2014
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,-1991
The Invisible Man,-1933
Halo,-2016
Stepsister from Planet Weird,-2000
Hellraiser: Bloodline,-1996
Fantastic Four 2,-2017
The Thing from Another World,-1951
My Favorite Martian,-1999
Geostorm,-2016
"20,000 Leagues Under the Sea",-1954
Starship Troopers 3: Marauder,-2008
Battlestar Galactica: Blood & Chrome,-2012
Flubber,-1997
Enthiran,-2010
Junior,-1994
Grabbers,-2012
The Thaw,-2009
