Title,Year
Meg,-2017
Behind the Mask: The Rise of Leslie Vernon,-2006
Diary of the Dead,-2007
Thirst,-2009
Lady in White,-1988
Book of Shadows: Blair Witch 2,-2000
Bad Milo,-2013
Possession,-1981
Scared Topless,-2013
Village of the Damned,-1960
The Exorcist III,-1990
The Burning,-1981
The Watcher,-2000
Pathology,-2008
Timecrimes,-2007
Little Monsters,-2012
The Last Winter,-2006
The House at the End of Time,-2013
Martyrs,-2015
[REC] 3: Genesis,-2012
Ju-on: The Grudge,-2002
The Culling,-2015
Exists,-2014
Lake Placid vs. Anaconda,-2015
Leprechaun: Origins,-2014
Gallowwalkers,-2012
Feardotcom,-2002
Patient Zero,-2016
Amber Alert,-2012
Black Christmas,-1974
The Bay,-2012
Ichi the Killer,-2001
The Poughkeepsie Tapes,-2007
Home Invasion,-2016
Splinter,-2008
Julia's Eyes,-2010
Blacula,-1972
Horror of Dracula,-1958
Dracula Reborn,-2015
Kartoffelsalat,-2015
The Gate,-1987
Escape from Tomorrow,-2013
Cabin Fever: Patient Zero,-2014
Ouija 2,-2016
Santa Sangre,-1989
Hobgoblins,-1988
AfterDeath,-2015
The Monkey's Paw,-2013
Beloved,-1998
Der Bunker,-2015
Bound to Vengeance,-2015
Bad Meat,-2011
Pet Sematary II,-1992
The Blob,-1988
Leatherface,-2015
Phantasm II,-1988
Frankenhooker,-1990
Exorcist II: The Heretic,-1977
The Rocky Horror Picture Show,-2017
Black Sheep,-2006
The Fearless Vampire Killers,-1967
Bug,-2006
Critters 3,-1991
Species II,-1998
Abbott and Costello Meet Frankenstein,-1948
Halloween Awakening: The Legacy of Michael Myers,-2012
Frontier(s),-2007
WolfCop,-2014
Friday the 13th Part VIII: Jason Takes Manhattan,-1989
Vamps,-2012
Lost After Dark,-2014
The Mummy,-1932
Cockneys vs Zombies,-2012
Arachnoquake,-2012
Manos: The Hands of Fate,-1966
Containment,-2015
Prom Night,-1980
Valentine,-2001
Carnival of Souls,-1962
Rise: Blood Hunter,-2007
Blood: The Last Vampire,-2009
Paranormal Whacktivity,-2013
Siren,-2010
Tales from the Hood,-1995
Creep,-2004
Hansel & Gretel Get Baked,-2013
Sightseers,-2012
The Rage: Carrie 2,-1999
Below,-2002
Henry: Portrait of a Serial Killer,-1986
The Returned,-2013
The Last Man on Earth,-1964
Virus,-1999
The Little Shop of Horrors,-1960
Truth or Die,-2012
Nymph,-2014
The Damned,-2013
Begotten,-1990
The Car,-1977
The Final Conflict,-1981
Tormented,-2009
Holidays,-2016
Fear Clinic,-2014
The Watcher in the Woods,-1980
Book of Blood,-2009
Lord of Illusions,-1995
Darkness,-2002
The Other,-1972
The Shrine,-2010
Alien Abduction,-2014
Beneath,-2013
The Raven,-1963
Borderland,-2007
Apartment 1303 3D,-2012
The Abominable Dr. Phibes,-1971
The Sentinel,-1977
The Circle,-2015
Vanishing on 7th Street,-2010
The Ouija Experiment,-2011
Ghost Story,-1981
Apartment 143,-2011
When a Stranger Calls,-1979
Godzilla,-1954
Perfect Blue,-1997
A Fantastic Fear of Everything,-2012
Leviathan,-1989
My Bloody Valentine,-1981
Graveyard Shift,-1990
Demons,-1985
Shrooms,-2007
Hellraiser: Revelations,-2011
The Last Exorcism Part II,-2013
Absentia,-2011
Dolls,-1987
Bones,-2001
Once Bitten,-1985
Rare Exports: A Christmas Tale,-2010
Dracula 3D,-2012
Trilogy of Terror,-1975
Piranha,-1978
Cabin Fever 2: Spring Fever,-2009
Hell Baby,-2013
Joy Ride 3,-2014
High Spirits,-1988
Grotesque,-2009
2 Bedroom 1 Bath,-2014
April Fool's Day,-1986
Killer Pad,-2008
Lavalantula,-2015
Zombieland,-2013
Something Wicked,-2011
Them,-2006
"Double, Double Toil and Trouble",-1993
The Stuff,-1985
From the Dark,-2014
A Haunting at the Rectory,-2015
Berberian Sound Studio,-2012
Lake Mungo,-2008
Corridors of Blood,-1958
The Fall of the House of Usher,-1949
Peeping Tom,-1960
Captivity,-2007
President's Day,-2010
Alleluia! The Devil's Carnival,-2015
Vampire,-2011
Knock Knock,-2007
Proxy,-2013
The Day,-2011
The Clinic,-2010
Die! Die! My Darling!,-1965
Pit and the Pendulum,-1961
They,-2002
Evidence,-2013
The Tunnel,-2011
Survival of the Dead,-2009
Skinwalkers,-2006
Stir of Echoes: The Homecoming,-2007
Phenomena,-1985
Avenged,-2013
The Tortured,-2010
Society,-1989
Cat's Eye,-1985
Disturbing Behavior,-1998
Deep Red,-1975
Dude Bro Party Massacre III,-2015
Shadow People,-2013
Kiss of the Damned,-2012
Girls Against Boys,-2012
The Toxic Avenger,-1984
In Fear,-2013
"Silent Night, Deadly Night",-1984
The Battery,-2012
A Haunting at Silver Falls,-2013
Vampire in Brooklyn,-1995
13 Ghosts,-1960
Antiviral,-2012
Diabolique,-1996
Shrew's Nest,-2014
Stage Fright,-2014
Stan Helsing,-2009
The Theatre Bizarre,-2011
Resolution,-2012
Delirium,-2016
Severance,-2006
The Children,-2008
Nekromantik,-1987
A Sound of Thunder,-2005
The Dead,-2010
Orca,-1977
The Beyond,-1981
Needful Things,-1993
Gremlins,-2017
Screamers,-1995
The Serpent and the Rainbow,-1988
Them!,-1954
The Man Who Laughs,-1928
Kill Theory,-2009
Vile,-2011
Venom,-2005
X Moor,-2014
Digging Up the Marrow,-2014
Dead Souls,-2012
Asylum Blackout,-2011
The Company of Wolves,-1984
The Signal,-2007
The Childhood of a Leader,-2015
Frankenstein vs. The Mummy,-2015
The Grudge 3,-2009
The Stepford Wives,-1975
Return of the Living Dead II,-1988
The Adventures of Ichabod and Mr. Toad,-1949
Monkey Shines,-1988
A Field in England,-2013
Bunny the Killer Thing,-2015
Moose Jaws,-2016
247°F,-2011
Compound Fracture,-2014
The Haunted Mansion,-2017
Offspring,-2009
The Vatican Exorcisms,-2013
Magic,-1978
Ghost Team One,-2013
The Reef,-2010
Storage 24,-2012
L.A. Slasher,-2015
DeadTime,-2012
Wishmaster,-1997
13/13/13,-2013
Open Water 2: Adrift,-2006
The Frozen,-2012
Phantasm: Ravager,-2015
Birdemic 2: The Resurrection,-2013
Psycho III,-1986
The Slumber Party Massacre,-1982
"Sexykiller, morirás por ella",-2008
The Blob,-2016
Dracula,-1979
The Invoking,-2013
Stranded,-2013
The Poltergeist of Borley Forest,-2013
Black Sunday,-1960
The Redwood Massacre,-2014
Stitches,-2012
Lovely Molly,-2011
Patrick,-2013
Villmark 2,-2015
Black Water,-2007
Little Witches,-1996
Dead End,-2003
Kwaidan,-1964
The Keep,-1983
Trick 'r Treat 2,-2017
The Fly II,-1989
Jack Goes Home,-2016
The Coed and the Zombie Stoner,-2014
Wicked Little Things,-2006
Viral,-2016
Haunting of Cellblock 11,-2014
Mr. Jones,-2013
The Masque of the Red Death,-1964
Torment,-2013
Frankenstein,-2015
Blood and Chocolate,-2007
Black Hole,-2017
The Day of the Beast,-1995
A Man in the Dark,-2016
Surveillance,-2008
The Limehouse Golem,-2016
When Animals Dream,-2014
Ted Bundy,-2002
Constantine 2,-2017
Deep in the Darkness,-2014
An American Werewolf in Paris,-1997
Sometimes They Come Back,-1991
Return of the Living Dead III,-1993
Warlock,-1989
The Bride,-1985
Mutant Chronicles,-2008
Bless the Child,-2000
Candyman: Farewell to the Flesh,-1995
Night of the Demons,-2009
The Uninvited,-1944
Baskin,-2015
Outpost,-2007
Reaper,-2014
Donkey Punch,-2008
Bereavement,-2010
The Last Voyage of Demeter,-2017
Sharktopus,-2010
Inferno,-1980
Megan Is Missing,-2011
The Town That Dreaded Sundown,-1976
Chucky 7,-2017
The Hamiltons,-2006
Medusa,-2015
The Funhouse,-1981
Salem's Lot,-2004
Bloodwork,-2012
